Compound,Elements,Element_numbers,H_f,E_total,#_atoms
Gd10S19,"['Gd', 'S']","[20, 38]",-2.0728992557931023,-1403.32690873,58
Gd2Br3N,"['Gd', 'Br', 'N']","[8, 12, 4]",-2.233093549166668,-687.58591318,24
Gd2C3,"['Gd', 'C']","[8, 12]",-0.3729179574999989,-495.61126315,20
Gd2Cl3,"['Gd', 'Cl']","[4, 6]",-2.151221215999999,-252.24394716,10
Gd2NCl3,"['Gd', 'N', 'Cl']","[8, 4, 12]",-2.4853513645833303,-558.24659675,24
Gd2O3,"['Gd', 'O']","[16, 24]",-3.9137574134999995,-1038.36914854,40
Gd2S3,"['Gd', 'S']","[8, 12]",-2.3812527847000013,-530.08569145,20
Gd2SCl4,"['Gd', 'S', 'Cl']","[4, 2, 8]",-2.5733879424285697,-301.73321982,14
Gd2Se3,"['Gd', 'Se']","[8, 12]",-2.1339731659999983,-650.5103616,20
Gd2SO6,"['Gd', 'S', 'O']","[8, 4, 24]",-3.0589833143888887,-663.37594057,36
Gd2Te3,"['Gd', 'Te']","[8, 12]",-1.6715408824999998,-845.23150965,20
Gd2Te4O11,"['Gd', 'Te', 'O']","[4, 8, 22]",-2.1202436508823506,-687.54290913,34
Gd2TeO6,"['Gd', 'Te', 'O']","[8, 4, 24]",-2.8823490908333347,-766.79712727,36
Gd3NCl6,"['Gd', 'N', 'Cl']","[6, 2, 12]",-2.5375518694999983,-439.02188139,20
Gd3S3N,"['Gd', 'S', 'N']","[12, 12, 4]",-2.292526566214288,-767.30601961,28
GdH3,"['Gd', 'H']","[6, 18]",-0.7113194124999987,-354.5190849,24
GdH3O3,"['Gd', 'H', 'O']","[2, 6, 6]",-2.149507550714286,-179.51034571,14
GdH6C4NO9,"['Gd', 'H', 'C', 'N', 'O']","[2, 12, 8, 2, 18]",-1.4240137914285722,-403.12720824,42
GdHSO5,"['Gd', 'H', 'S', 'O']","[4, 4, 4, 20]",-2.3726633449375,-434.84964429,32
GdI3O9,"['Gd', 'I', 'O']","[4, 12, 36]",-1.1801631994230752,-906.57546437,52
GdP3O9,"['Gd', 'P', 'O']","[2, 6, 18]",-2.8097384119230773,-338.06692555,26
GdP5,"['Gd', 'P']","[2, 10]",-0.633211927500002,-203.44093753,12
GdPO4,"['Gd', 'P', 'O']","[4, 4, 16]",-3.358098612500001,-404.23999326,24
GdPS,"['Gd', 'P', 'S']","[8, 8, 8]",-1.7913664410833359,-570.24578621,24
GdPS4,"['Gd', 'P', 'S']","[8, 8, 32]",-1.2306197994583339,-817.16422951,48
GdS2,"['Gd', 'S']","[4, 8]",-1.9977406446666681,-284.43999624,12
Ce10S19,"['Ce', 'S']","[20, 38]",-2.2607280309655184,-1349.89034769,58
Ce10Se19,"['Ce', 'Se']","[20, 38]",-2.113774977758622,-1738.37290193,58
Ce2Br5,"['Ce', 'Br']","[4, 10]",-2.3858366921428575,-395.56976869,14
Ce2C3,"['Ce', 'C']","[8, 12]",-0.4313755609999987,-471.04816322,20
Ce2H5,"['Ce', 'H']","[4, 10]",-0.8080276228571434,-216.50370672,14
Ce2NCl3,"['Ce', 'N', 'Cl']","[4, 2, 6]",-2.5999300658333317,-267.63211679,12
Ce2O3,"['Ce', 'O']","[16, 24]",-3.8124150735,-982.85095094,40
Ce2S3,"['Ce', 'S']","[8, 12]",-2.5675350957000007,-508.07908567,20
Ce2Se3O9,"['Ce', 'Se', 'O']","[8, 12, 36]",-2.163222559642857,-924.84771162,56
Ce2SeF4,"['Ce', 'Se', 'F']","[2, 1, 4]",-4.0793473828571445,-147.88543727,7
Ce2Te3,"['Ce', 'Te']","[8, 12]",-1.9833552829999974,-825.73554566,20
Ce2Te4O11,"['Ce', 'Te', 'O']","[4, 8, 22]",-2.1299762308823547,-675.00769085,34
Ce3S3N,"['Ce', 'S', 'N']","[12, 12, 4]",-2.397589489785718,-731.64940347,28
Ce3Se4,"['Ce', 'Se']","[6, 8]",-2.336147406428572,-449.21413121,14
Ce4Te3N2,"['Ce', 'Te', 'N']","[16, 12, 8]",-2.000536574444444,-1273.66478468,36
CeBr3,"['Ce', 'Br']","[2, 6]",-2.4611478787499976,-219.92463403,8
CeCl3,"['Ce', 'Cl']","[2, 6]",-2.828803087499999,-155.1691237,8
CeF3,"['Ce', 'F']","[6, 18]",-4.570110664166665,-428.38068874,24
CeH3C3O6,"['Ce', 'H', 'C', 'O']","[1, 3, 3, 6]",-1.620535450000001,-141.30468585,13
CeH3O3,"['Ce', 'H', 'O']","[2, 6, 6]",-2.1659041550000007,-173.30683517,14
CeHSe,"['Ce', 'H', 'Se']","[2, 2, 2]",-1.8087327333333292,-143.21864078,6
CeHSO5,"['Ce', 'H', 'S', 'O']","[4, 4, 4, 20]",-2.4147597730624994,-423.33060399,32
CeI3O9,"['Ce', 'I', 'O']","[4, 12, 36]",-1.2069251532692293,-895.10095997,52
CeP3O9,"['Ce', 'P', 'O']","[2, 6, 18]",-2.826629207307692,-332.07302323,26
CeP5,"['Ce', 'P']","[4, 20]",-0.7100588870833349,-395.86007609,24
CeP5O14,"['Ce', 'P', 'O']","[2, 10, 28]",-2.6339369390000016,-467.12905496,40
CePO4,"['Ce', 'P', 'O']","[4, 4, 16]",-3.417107770833335,-392.79008706,24
CePS,"['Ce', 'P', 'S']","[8, 8, 8]",-1.9421071085833361,-548.13131023,24
CePS4,"['Ce', 'P', 'S']","[8, 8, 32]",-1.3585668819583343,-797.57343747,48
CeS2,"['Ce', 'S']","[8, 16]",-2.192305905916664,-547.81730675,24
CeSe,"['Ce', 'Se']","[1, 1]",-2.3214038900000027,-67.37217997,2
CeSe2,"['Ce', 'Se']","[4, 8]",-2.0477518791666682,-355.75418007,12
CeSI,"['Ce', 'S', 'I']","[8, 8, 8]",-2.2344841027499975,-765.26804097,24
CeTe3,"['Ce', 'Te']","[2, 6]",-1.4091406112500025,-318.98043489,8
CeTeH,"['Ce', 'Te', 'H']","[1, 1, 1]",-1.587543843333331,-87.94323653,3
